ModuleName,Layer,TargetSkill,PrimaryAliases,ExcludeTerms,RelativeBuildCsPath
AssetDefinition,Editor,ue5-performance-packaging,assetdefinition|asset|cook|package,email|translation|copywriting,Editor\AssetDefinition\AssetDefinition.Build.cs
AssetTagsEditor,Editor,ue5-performance-packaging,assettagseditor|asset|cook|package,email|translation|copywriting,Editor\AssetTagsEditor\AssetTagsEditor.Build.cs
AudioEditor,Editor,ue5-cpp-gameplay,audioeditor|audio|sound|metasound,email|translation|copywriting,Editor\AudioEditor\AudioEditor.Build.cs
BehaviorTreeEditor,Editor,ue5-cpp-gameplay,behaviortreeeditor|ai|nav|mass,email|translation|copywriting,Editor\BehaviorTreeEditor\BehaviorTreeEditor.Build.cs
BlueprintEditorLibrary,Editor,ue5-architecture,blueprinteditorlibrary|unreal|module|blueprint,email|translation|copywriting,Editor\BlueprintEditorLibrary\BlueprintEditorLibrary.Build.cs
BlueprintGraph,Editor,ue5-architecture,blueprintgraph|unreal|module|blueprint,email|translation|copywriting,Editor\BlueprintGraph\BlueprintGraph.Build.cs
Blutility,Editor,ue5-architecture,blutility|unreal|module,email|translation|copywriting,Editor\Blutility\Blutility.Build.cs
ClassViewer,Editor,ue5-architecture,classviewer|unreal|module|class,email|translation|copywriting,Editor\ClassViewer\ClassViewer.Build.cs
ClothingSystemEditor,Editor,ue5-architecture,clothingsystemeditor|unreal|module|clothing,email|translation|copywriting,Editor\ClothingSystemEditor\ClothingSystemEditor.Build.cs
ClothingSystemEditorInterface,Editor,ue5-architecture,clothingsystemeditorinterface|unreal|module|clothing,email|translation|copywriting,Editor\ClothingSystemEditorInterface\ClothingSystemEditorInterface.Build.cs
ClothPainter,Editor,ue5-world-interaction,clothpainter|physics|chaos|collision,email|translation|copywriting,Editor\ClothPainter\ClothPainter.Build.cs
CommonMenuExtensions,Editor,ue5-architecture,commonmenuextensions|unreal|module|common,email|translation|copywriting,Editor\CommonMenuExtensions\CommonMenuExtensions.Build.cs
ComponentVisualizers,Editor,ue5-architecture,componentvisualizers|unreal|module|component,email|translation|copywriting,Editor\ComponentVisualizers\ComponentVisualizers.Build.cs
ConfigEditor,Editor,ue5-architecture,configeditor|unreal|module|config,email|translation|copywriting,Editor\ConfigEditor\ConfigEditor.Build.cs
ContentBrowser,Editor,ue5-architecture,contentbrowser|unreal|module|content,email|translation|copywriting,Editor\ContentBrowser\ContentBrowser.Build.cs
ContentBrowserData,Editor,ue5-architecture,contentbrowserdata|unreal|module|content,email|translation|copywriting,Editor\ContentBrowserData\ContentBrowserData.Build.cs
CSVtoSVG,Editor,ue5-architecture,csvtosvg|unreal|module|csvto,email|translation|copywriting,Editor\CSVtoSVG\CSVtoSVG.Build.cs
CurveAssetEditor,Editor,ue5-performance-packaging,curveasseteditor|asset|cook|package,email|translation|copywriting,Editor\CurveAssetEditor\CurveAssetEditor.Build.cs
CurveEditor,Editor,ue5-architecture,curveeditor|unreal|module|curve,email|translation|copywriting,Editor\CurveEditor\CurveEditor.Build.cs
CurveTableEditor,Editor,ue5-architecture,curvetableeditor|unreal|module|curve,email|translation|copywriting,Editor\CurveTableEditor\CurveTableEditor.Build.cs
DataHierarchyEditor,Editor,ue5-architecture,datahierarchyeditor|unreal|module|data,email|translation|copywriting,Editor\DataHierarchyEditor\DataHierarchyEditor.Build.cs
DataLayerEditor,Editor,ue5-architecture,datalayereditor|unreal|module|data,email|translation|copywriting,Editor\DataLayerEditor\DataLayerEditor.Build.cs
DataTableEditor,Editor,ue5-architecture,datatableeditor|unreal|module|data,email|translation|copywriting,Editor\DataTableEditor\DataTableEditor.Build.cs
DerivedDataEditor,Editor,ue5-architecture,deriveddataeditor|unreal|module|derived,email|translation|copywriting,Editor\DerivedDataEditor\DerivedDataEditor.Build.cs
DerivedDataWidgets,Editor,ue5-architecture,deriveddatawidgets|unreal|module|derived,email|translation|copywriting,Editor\DerivedDataWidgets\DerivedDataWidgets.Build.cs
DetailCustomizations,Editor,ue5-architecture,detailcustomizations|unreal|module|detail,email|translation|copywriting,Editor\DetailCustomizations\DetailCustomizations.Build.cs
DeviceProfileEditor,Editor,ue5-architecture,deviceprofileeditor|unreal|module|device,email|translation|copywriting,Editor\DeviceProfileEditor\DeviceProfileEditor.Build.cs
DeviceProfileServices,Editor,ue5-architecture,deviceprofileservices|unreal|module|device,email|translation|copywriting,Editor\DeviceProfileServices\DeviceProfileServices.Build.cs
DistCurveEditor,Editor,ue5-architecture,distcurveeditor|unreal|module|dist,email|translation|copywriting,Editor\DistCurveEditor\DistCurveEditor.Build.cs
Documentation,Editor,ue5-architecture,documentation|unreal|module,email|translation|copywriting,Editor\Documentation\Documentation.Build.cs
EditorConfig,Editor,ue5-architecture,editorconfig|unreal|module|config,email|translation|copywriting,Editor\EditorConfig\EditorConfig.Build.cs
EditorFramework,Editor,ue5-architecture,editorframework|unreal|module|framework,email|translation|copywriting,Editor\EditorFramework\EditorFramework.Build.cs
EditorInteractiveToolsFramework,Editor,ue5-architecture,editorinteractivetoolsframework|unreal|module|interactive,email|translation|copywriting,Editor\Experimental\EditorInteractiveToolsFramework\EditorInteractiveToolsFramework.Build.cs
EditorSettingsViewer,Editor,ue5-architecture,editorsettingsviewer|unreal|module|settings,email|translation|copywriting,Editor\EditorSettingsViewer\EditorSettingsViewer.Build.cs
EditorStyle,Editor,ue5-architecture,editorstyle|unreal|module|style,email|translation|copywriting,Editor\EditorStyle\EditorStyle.Build.cs
EditorSubsystem,Editor,ue5-architecture,editorsubsystem|unreal|module|subsystem,email|translation|copywriting,Editor\EditorSubsystem\EditorSubsystem.Build.cs
EditorWidgets,Editor,ue5-architecture,editorwidgets|unreal|module|widgets,email|translation|copywriting,Editor\EditorWidgets\EditorWidgets.Build.cs
EnvironmentLightingViewer,Editor,ue5-architecture,environmentlightingviewer|unreal|module|environment,email|translation|copywriting,Editor\EnvironmentLightingViewer\EnvironmentLightingViewer.Build.cs
FoliageEdit,Editor,ue5-architecture,foliageedit|unreal|module|foliage,email|translation|copywriting,Editor\FoliageEdit\FoliageEdit.build.cs
FontEditor,Editor,ue5-architecture,fonteditor|unreal|module|font,email|translation|copywriting,Editor\FontEditor\FontEditor.Build.cs
GameplayDebuggerEditor,Editor,ue5-cpp-gameplay,gameplaydebuggereditor|gameplay|ability|input,email|translation|copywriting,Editor\GameplayDebugger\GameplayDebuggerEditor.Build.cs
GameplayTasksEditor,Editor,ue5-cpp-gameplay,gameplaytaskseditor|gameplay|ability|input,email|translation|copywriting,Editor\GameplayTasksEditor\GameplayTasksEditor.Build.cs
GameProjectGeneration,Editor,ue5-architecture,gameprojectgeneration|unreal|module|game,email|translation|copywriting,Editor\GameProjectGeneration\GameProjectGeneration.Build.cs
GraphEditor,Editor,ue5-architecture,grapheditor|unreal|module|graph,email|translation|copywriting,Editor\GraphEditor\GraphEditor.Build.cs
HardwareTargeting,Editor,ue5-architecture,hardwaretargeting|unreal|module|hardware,email|translation|copywriting,Editor\HardwareTargeting\HardwareTargeting.Build.cs
HierarchicalLODOutliner,Editor,ue5-architecture,hierarchicallodoutliner|unreal|module|hierarchical,email|translation|copywriting,Editor\HierarchicalLODOutliner\HierarchicalLODOutliner.Build.cs
InputBindingEditor,Editor,ue5-cpp-gameplay,inputbindingeditor|gameplay|ability|input,email|translation|copywriting,Editor\InputBindingEditor\InputBindingEditor.Build.cs
InternationalizationSettings,Editor,ue5-architecture,internationalizationsettings|unreal|module|internationalization,email|translation|copywriting,Editor\InternationalizationSettings\InternationalizationSettings.Build.cs
Kismet,Editor,ue5-architecture,kismet|unreal|module,email|translation|copywriting,Editor\Kismet\Kismet.Build.cs
KismetCompiler,Editor,ue5-architecture,kismetcompiler|unreal|module|kismet,email|translation|copywriting,Editor\KismetCompiler\KismetCompiler.Build.cs
KismetWidgets,Editor,ue5-architecture,kismetwidgets|unreal|module|kismet,email|translation|copywriting,Editor\KismetWidgets\KismetWidgets.Build.cs
LandscapeEditor,Editor,ue5-architecture,landscapeeditor|unreal|module|landscape,email|translation|copywriting,Editor\LandscapeEditor\LandscapeEditor.Build.cs
LandscapeEditorUtilities,Editor,ue5-architecture,landscapeeditorutilities|unreal|module|landscape,email|translation|copywriting,Editor\LandscapeEditorUtilities\LandscapeEditorUtilities.Build.cs
Layers,Editor,ue5-architecture,layers|unreal|module,email|translation|copywriting,Editor\Layers\Layers.Build.cs
LevelEditor,Editor,ue5-architecture,leveleditor|unreal|module|level,email|translation|copywriting,Editor\LevelEditor\LevelEditor.Build.cs
LevelInstanceEditor,Editor,ue5-architecture,levelinstanceeditor|unreal|module|level,email|translation|copywriting,Editor\LevelInstanceEditor\LevelInstanceEditor.Build.cs
LocalizationCommandletExecution,Editor,ue5-architecture,localizationcommandletexecution|unreal|module|localization,email|translation|copywriting,Editor\LocalizationCommandletExecution\LocalizationCommandletExecution.Build.cs
LocalizationDashboard,Editor,ue5-architecture,localizationdashboard|unreal|module|localization,email|translation|copywriting,Editor\LocalizationDashboard\LocalizationDashboard.Build.cs
MainFrame,Editor,ue5-architecture,mainframe|unreal|module|main,email|translation|copywriting,Editor\MainFrame\MainFrame.Build.cs
MassEntityDebugger,Editor,ue5-cpp-gameplay,massentitydebugger|ai|nav|mass,email|translation|copywriting,Editor\MassEntityDebugger\MassEntityDebugger.Build.cs
MassEntityEditor,Editor,ue5-cpp-gameplay,massentityeditor|ai|nav|mass,email|translation|copywriting,Editor\MassEntityEditor\MassEntityEditor.Build.cs
MaterialEditor,Editor,ue5-performance-packaging,materialeditor|render|shader|rhi,email|translation|copywriting,Editor\MaterialEditor\MaterialEditor.Build.cs
MergeActors,Editor,ue5-architecture,mergeactors|unreal|module|merge,email|translation|copywriting,Editor\MergeActors\MergeActors.Build.cs
MeshPaint,Editor,ue5-architecture,meshpaint|unreal|module|mesh,email|translation|copywriting,Editor\MeshPaint\MeshPaint.Build.cs
MovieSceneCaptureDialog,Editor,ue5-cpp-gameplay,moviescenecapturedialog|media|movie|video,email|translation|copywriting,Editor\MovieSceneCaptureDialog\MovieSceneCaptureDialog.Build.cs
MovieSceneTools,Editor,ue5-cpp-gameplay,moviescenetools|media|movie|video,email|translation|copywriting,Editor\MovieSceneTools\MovieSceneTools.Build.cs
NewLevelDialog,Editor,ue5-architecture,newleveldialog|unreal|module|new,email|translation|copywriting,Editor\NewLevelDialog\NewLevelDialog.Build.cs
NNEEditor,Editor,ue5-architecture,nneeditor|unreal|module,email|translation|copywriting,Editor\NNEEditor\NNEEditor.Build.cs
OverlayEditor,Editor,ue5-architecture,overlayeditor|unreal|module|overlay,email|translation|copywriting,Editor\OverlayEditor\OverlayEditor.Build.cs
PackagesDialog,Editor,ue5-architecture,packagesdialog|unreal|module|packages,email|translation|copywriting,Editor\PackagesDialog\PackagesDialog.Build.cs
Persona,Editor,ue5-architecture,persona|unreal|module,email|translation|copywriting,Editor\Persona\Persona.Build.cs
PhysicsAssetEditor,Editor,ue5-world-interaction,physicsasseteditor|physics|chaos|collision,email|translation|copywriting,Editor\PhysicsAssetEditor\PhysicsAssetEditor.Build.cs
PIEPreviewDeviceProfileSelector,Editor,ue5-architecture,piepreviewdeviceprofileselector|unreal|module|piepreview,email|translation|copywriting,Editor\PIEPreviewDeviceProfileSelector\PIEPreviewDeviceProfileSelector.Build.cs
PIEPreviewDeviceSpecification,Editor,ue5-architecture,piepreviewdevicespecification|unreal|module|piepreview,email|translation|copywriting,Editor\PIEPreviewDeviceSpecification\PIEPreviewDeviceSpecification.Build.cs
PinnedCommandList,Editor,ue5-architecture,pinnedcommandlist|unreal|module|pinned,email|translation|copywriting,Editor\PinnedCommandList\PinnedCommandList.Build.cs
PixelInspectorModule,Editor,ue5-architecture,pixelinspectormodule|unreal|module|pixel,email|translation|copywriting,Editor\PixelInspector\PixelInspectorModule.Build.cs
PlacementMode,Editor,ue5-architecture,placementmode|unreal|module|placement,email|translation|copywriting,Editor\PlacementMode\PlacementMode.Build.cs
PListEditor,Editor,ue5-architecture,plisteditor|unreal|module|plist,email|translation|copywriting,Editor\PListEditor\PListEditor.Build.cs
PluginWarden,Editor,ue5-architecture,pluginwarden|unreal|module|plugin,email|translation|copywriting,Editor\PluginWarden\PluginWarden.Build.cs
ProjectSettingsViewer,Editor,ue5-architecture,projectsettingsviewer|unreal|module|project,email|translation|copywriting,Editor\ProjectSettingsViewer\ProjectSettingsViewer.Build.cs
ProjectTargetPlatformEditor,Editor,ue5-architecture,projecttargetplatformeditor|unreal|module|project,email|translation|copywriting,Editor\ProjectTargetPlatformEditor\ProjectTargetPlatformEditor.Build.cs
PropertyEditor,Editor,ue5-architecture,propertyeditor|unreal|module|property,email|translation|copywriting,Editor\PropertyEditor\PropertyEditor.Build.cs
RenderResourceViewer,Editor,ue5-performance-packaging,renderresourceviewer|render|shader|rhi,email|translation|copywriting,Editor\RenderResourceViewer\RenderResourceViewer.Build.cs
RewindDebuggerInterface,Editor,ue5-architecture,rewinddebuggerinterface|unreal|module|rewind,email|translation|copywriting,Editor\RewindDebuggerInterface\RewindDebuggerInterface.Build.cs
SceneDepthPickerMode,Editor,ue5-architecture,scenedepthpickermode|unreal|module|scene,email|translation|copywriting,Editor\SceneDepthPickerMode\SceneDepthPickerMode.Build.cs
SceneOutliner,Editor,ue5-architecture,sceneoutliner|unreal|module|scene,email|translation|copywriting,Editor\SceneOutliner\SceneOutliner.Build.cs
ScriptableEditorWidgets,Editor,ue5-architecture,scriptableeditorwidgets|unreal|module|scriptable,email|translation|copywriting,Editor\ScriptableEditorWidgets\ScriptableEditorWidgets.Build.cs
Sequencer,Editor,ue5-architecture,sequencer|unreal|module,email|translation|copywriting,Editor\Sequencer\Sequencer.Build.cs
SequencerCore,Editor,ue5-architecture,sequencercore|core|engine|uobject,email|translation|copywriting,Editor\SequencerCore\SequencerCore.Build.cs
SequenceRecorder,Editor,ue5-architecture,sequencerecorder|unreal|module|sequence,email|translation|copywriting,Editor\SequenceRecorder\SequenceRecorder.Build.cs
SequenceRecorderSections,Editor,ue5-architecture,sequencerecordersections|unreal|module|sequence,email|translation|copywriting,Editor\SequenceRecorderSections\SequenceRecorderSections.Build.cs
SequencerWidgets,Editor,ue5-architecture,sequencerwidgets|unreal|module|sequencer,email|translation|copywriting,Editor\SequencerWidgets\SequencerWidgets.Build.cs
SerializedRecorderInterface,Editor,ue5-architecture,serializedrecorderinterface|unreal|module|serialized,email|translation|copywriting,Editor\SerializedRecorderInterface\SerializedRecorderInterface.Build.cs
SkeletalMeshEditor,Editor,ue5-cpp-gameplay,skeletalmesheditor|animation|skeletal|rig,email|translation|copywriting,Editor\SkeletalMeshEditor\SkeletalMeshEditor.Build.cs
SkeletonEditor,Editor,ue5-architecture,skeletoneditor|unreal|module|skeleton,email|translation|copywriting,Editor\SkeletonEditor\SkeletonEditor.Build.cs
SourceControlWindowExtender,Editor,ue5-architecture,sourcecontrolwindowextender|unreal|module|control,email|translation|copywriting,Editor\SourceControlWindowExtender\SourceControlWindowExtender.Build.cs
SourceControlWindows,Editor,ue5-architecture,sourcecontrolwindows|unreal|module|control,email|translation|copywriting,Editor\SourceControlWindows\SourceControlWindows.Build.cs
SparseVolumeTexture,Editor,ue5-architecture,sparsevolumetexture|unreal|module|sparse,email|translation|copywriting,Editor\SparseVolumeTexture\SparseVolumeTexture.Build.cs
StaticMeshEditor,Editor,ue5-architecture,staticmesheditor|unreal|module|static,email|translation|copywriting,Editor\StaticMeshEditor\StaticMeshEditor.Build.cs
StatsViewer,Editor,ue5-architecture,statsviewer|unreal|module|stats,email|translation|copywriting,Editor\StatsViewer\StatsViewer.Build.cs
StatusBar,Editor,ue5-architecture,statusbar|unreal|module|status,email|translation|copywriting,Editor\StatusBar\StatusBar.Build.cs
StorageServerWidgets,Editor,ue5-architecture,storageserverwidgets|unreal|module|storage,email|translation|copywriting,Editor\StorageServerWidgets\StorageServerWidgets.Build.cs
StringTableEditor,Editor,ue5-architecture,stringtableeditor|unreal|module|string,email|translation|copywriting,Editor\StringTableEditor\StringTableEditor.Build.cs
StructUtilsEditor,Editor,ue5-architecture,structutilseditor|unreal|module|struct,email|translation|copywriting,Editor\StructUtilsEditor\StructUtilsEditor.Build.cs
StructViewer,Editor,ue5-architecture,structviewer|unreal|module|struct,email|translation|copywriting,Editor\StructViewer\StructViewer.Build.cs
SubobjectDataInterface,Editor,ue5-architecture,subobjectdatainterface|unreal|module|subobject,email|translation|copywriting,Editor\SubobjectDataInterface\SubobjectDataInterface.Build.cs
SubobjectEditor,Editor,ue5-architecture,subobjecteditor|unreal|module|subobject,email|translation|copywriting,Editor\SubobjectEditor\SubobjectEditor.Build.cs
SVGDistanceField,Editor,ue5-architecture,svgdistancefield|unreal|module|svgdistance,email|translation|copywriting,Editor\SVGDistanceField\SVGDistanceField.Build.cs
SwarmInterface,Editor,ue5-architecture,swarminterface|unreal|module|swarm,email|translation|copywriting,Editor\SwarmInterface\SwarmInterface.Build.cs
TextureEditor,Editor,ue5-architecture,textureeditor|unreal|module|texture,email|translation|copywriting,Editor\TextureEditor\TextureEditor.Build.cs
ToolMenusEditor,Editor,ue5-architecture,toolmenuseditor|unreal|module|tool,email|translation|copywriting,Editor\ToolMenusEditor\ToolMenusEditor.Build.cs
TurnkeySupport,Editor,ue5-architecture,turnkeysupport|unreal|module|turnkey,email|translation|copywriting,Editor\TurnkeySupport\TurnkeySupport.Build.cs
UATHelper,Editor,ue5-architecture,uathelper|unreal|module,email|translation|copywriting,Editor\UATHelper\UATHelper.Build.cs
UMGEditor,Editor,ue5-architecture,umgeditor|unreal|module,email|translation|copywriting,Editor\UMGEditor\UMGEditor.Build.cs
UndoHistoryEditor,Editor,ue5-architecture,undohistoryeditor|unreal|module|undo,email|translation|copywriting,Editor\UndoHistoryEditor\UndoHistoryEditor.Build.cs
UniversalObjectLocatorEditor,Editor,ue5-architecture,universalobjectlocatoreditor|unreal|module|universal,email|translation|copywriting,Editor\UniversalObjectLocatorEditor\UniversalObjectLocatorEditor.Build.cs
UnrealEd,Editor,ue5-architecture,unrealed|unreal|module,email|translation|copywriting,Editor\UnrealEd\UnrealEd.Build.cs
UnrealEdMessages,Editor,ue5-architecture,unrealedmessages|unreal|module|messages,email|translation|copywriting,Editor\UnrealEdMessages\UnrealEdMessages.Build.cs
ViewportInteraction,Editor,ue5-architecture,viewportinteraction|unreal|module|viewport,email|translation|copywriting,Editor\ViewportInteraction\ViewportInteraction.Build.cs
ViewportSnapping,Editor,ue5-architecture,viewportsnapping|unreal|module|viewport,email|translation|copywriting,Editor\ViewportSnapping\ViewportSnapping.Build.cs
VirtualizationEditor,Editor,ue5-architecture,virtualizationeditor|unreal|module|virtualization,email|translation|copywriting,Editor\VirtualizationEditor\VirtualizationEditor.Build.cs
VirtualTexturingEditor,Editor,ue5-architecture,virtualtexturingeditor|unreal|module|virtual,email|translation|copywriting,Editor\VirtualTexturingEditor\VirtualTexturingEditor.Build.cs
VREditor,Editor,ue5-architecture,vreditor|unreal|module,email|translation|copywriting,Editor\VREditor\VREditor.Build.cs
WorkspaceMenuStructure,Editor,ue5-architecture,workspacemenustructure|unreal|module|workspace,email|translation|copywriting,Editor\WorkspaceMenuStructure\WorkspaceMenuStructure.Build.cs
WorldBookmark,Editor,ue5-architecture,worldbookmark|unreal|module|world,email|translation|copywriting,Editor\WorldBookmark\WorldBookmark.Build.cs
WorldBrowser,Editor,ue5-architecture,worldbrowser|unreal|module|world,email|translation|copywriting,Editor\WorldBrowser\WorldBrowser.Build.cs
WorldPartitionEditor,Editor,ue5-architecture,worldpartitioneditor|unreal|module|world,email|translation|copywriting,Editor\WorldPartitionEditor\WorldPartitionEditor.Build.cs
ZenEditor,Editor,ue5-architecture,zeneditor|unreal|module|zen,email|translation|copywriting,Editor\ZenEditor\ZenEditor.Build.cs
DotNetPerforceLib,Programs,ue5-performance-packaging,dotnetperforcelib|asset|cook|package,email|translation|copywriting,Programs\Shared\EpicGames.Perforce.Native\DotNetPerforceLib.Build.cs
LiveLinkHubLauncher,Programs,ue5-performance-packaging,livelinkhublauncher|asset|cook|package,email|translation|copywriting,Programs\LiveLinkHub\Source\LiveLinkHubLauncher\LiveLinkHubLauncher.Build.cs
AdpcmAudioDecoder,Runtime,ue5-cpp-gameplay,adpcmaudiodecoder|audio|sound|metasound,email|translation|copywriting,Runtime\AdpcmAudioDecoder\Module\AdpcmAudioDecoder.Build.cs
AdvancedWidgets,Runtime,ue5-architecture,advancedwidgets|unreal|module|advanced,email|translation|copywriting,Runtime\AdvancedWidgets\AdvancedWidgets.Build.cs
Advertising,Runtime,ue5-architecture,advertising|unreal|module,email|translation|copywriting,Runtime\Advertising\Advertising\Advertising.Build.cs
AIModule,Runtime,ue5-cpp-gameplay,aimodule|ai|nav|mass,email|translation|copywriting,Runtime\AIModule\AIModule.Build.cs
Analytics,Runtime,ue5-architecture,analytics|unreal|module,email|translation|copywriting,Runtime\Analytics\Analytics\Analytics.Build.cs
AnalyticsET,Runtime,ue5-architecture,analyticset|unreal|module|analytics,email|translation|copywriting,Runtime\Analytics\AnalyticsET\AnalyticsET.Build.cs
AnalyticsHorde,Runtime,ue5-architecture,analyticshorde|unreal|module|analytics,email|translation|copywriting,Runtime\Analytics\AnalyticsHorde\AnalyticsHorde.Build.cs
AnalyticsLog,Runtime,ue5-architecture,analyticslog|unreal|module|analytics,email|translation|copywriting,Runtime\Analytics\AnalyticsLog\AnalyticsLog.Build.cs
AnalyticsSwrve,Runtime,ue5-architecture,analyticsswrve|unreal|module|analytics,email|translation|copywriting,Runtime\Analytics\AnalyticsSwrve\AnalyticsSwrve.Build.cs
AnalyticsVisualEditing,Runtime,ue5-architecture,analyticsvisualediting|unreal|module|analytics,email|translation|copywriting,Runtime\Analytics\AnalyticsVisualEditing\AnalyticsVisualEditing.Build.cs
AndroidAdvertising,Runtime,ue5-architecture,androidadvertising|unreal|module|android,email|translation|copywriting,Runtime\Advertising\Android\AndroidAdvertising\AndroidAdvertising.Build.cs
AndroidLocalNotification,Runtime,ue5-architecture,androidlocalnotification|unreal|module|android,email|translation|copywriting,Runtime\Android\AndroidLocalNotification\AndroidLocalNotification.Build.cs
AndroidRuntimeSettings,Runtime,ue5-architecture,androidruntimesettings|unreal|module|android,email|translation|copywriting,Runtime\Android\AndroidRuntimeSettings\AndroidRuntimeSettings.Build.cs
AnimationCore,Runtime,ue5-architecture,animationcore|core|engine|uobject,email|translation|copywriting,Runtime\AnimationCore\AnimationCore.Build.cs
AnimGraphRuntime,Runtime,ue5-cpp-gameplay,animgraphruntime|animation|skeletal|rig,email|translation|copywriting,Runtime\AnimGraphRuntime\AnimGraphRuntime.Build.cs
AppFramework,Runtime,ue5-architecture,appframework|unreal|module|app,email|translation|copywriting,Runtime\AppFramework\AppFramework.Build.cs
ApplicationCore,Runtime,ue5-architecture,applicationcore|core|engine|uobject,email|translation|copywriting,Runtime\ApplicationCore\ApplicationCore.Build.cs
AssetRegistry,Runtime,ue5-performance-packaging,assetregistry|asset|cook|package,email|translation|copywriting,Runtime\AssetRegistry\AssetRegistry.Build.cs
AudioAnalyzer,Runtime,ue5-cpp-gameplay,audioanalyzer|audio|sound|metasound,email|translation|copywriting,Runtime\AudioAnalyzer\AudioAnalyzer.Build.cs
AudioCaptureAndroid,Runtime,ue5-cpp-gameplay,audiocaptureandroid|audio|sound|metasound,email|translation|copywriting,Runtime\AudioCaptureImplementations\Android\AudioCaptureAndroid\AudioCaptureAndroid.Build.cs
AudioCaptureAudioUnit,Runtime,ue5-cpp-gameplay,audiocaptureaudiounit|audio|sound|metasound,email|translation|copywriting,Runtime\AudioCaptureImplementations\IOS\AudioCaptureAudioUnit\AudioCaptureAudioUnit.Build.cs
AudioCaptureCore,Runtime,ue5-architecture,audiocapturecore|core|engine|uobject,email|translation|copywriting,Runtime\AudioCaptureCore\AudioCaptureCore.Build.cs
AudioCaptureRtAudio,Runtime,ue5-cpp-gameplay,audiocapturertaudio|audio|sound|metasound,email|translation|copywriting,Runtime\AudioCaptureImplementations\AudioCaptureRtAudio\AudioCaptureRtAudio.Build.cs
AudioCaptureWasapi,Runtime,ue5-cpp-gameplay,audiocapturewasapi|audio|sound|metasound,email|translation|copywriting,Runtime\AudioCaptureImplementations\Windows\AudioCaputureWasapi\AudioCaptureWasapi.Build.cs
AudioExtensions,Runtime,ue5-cpp-gameplay,audioextensions|audio|sound|metasound,email|translation|copywriting,Runtime\AudioExtensions\AudioExtensions.Build.cs
AudioLinkCore,Runtime,ue5-architecture,audiolinkcore|core|engine|uobject,email|translation|copywriting,Runtime\AudioLink\AudioLinkCore\AudioLinkCore.Build.cs
AudioLinkEngine,Runtime,ue5-architecture,audiolinkengine|core|engine|uobject,email|translation|copywriting,Runtime\AudioLink\AudioLinkEngine\AudioLinkEngine.Build.cs
AudioMixer,Runtime,ue5-cpp-gameplay,audiomixer|audio|sound|metasound,email|translation|copywriting,Runtime\AudioMixer\AudioMixer.Build.cs
AudioMixerAndroid,Runtime,ue5-cpp-gameplay,audiomixerandroid|audio|sound|metasound,email|translation|copywriting,Runtime\Android\AudioMixerAndroid\AudioMixerAndroid.Build.cs
AudioMixerAudioUnit,Runtime,ue5-cpp-gameplay,audiomixeraudiounit|audio|sound|metasound,email|translation|copywriting,Runtime\Apple\AudioMixerAudioUnit\AudioMixerAudioUnit.Build.cs
AudioMixerCore,Runtime,ue5-architecture,audiomixercore|core|engine|uobject,email|translation|copywriting,Runtime\AudioMixerCore\AudioMixerCore.Build.cs
AudioMixerCoreAudio,Runtime,ue5-architecture,audiomixercoreaudio|core|engine|uobject,email|translation|copywriting,Runtime\Apple\AudioMixerCoreAudio\AudioMixerCoreAudio.Build.cs
AudioMixerPlatformAudioLink,Runtime,ue5-cpp-gameplay,audiomixerplatformaudiolink|audio|sound|metasound,email|translation|copywriting,Runtime\AudioLink\AudioMixerPlatformAudioLink\AudioMixerPlatformAudioLink.Build.cs
AudioMixerSDL,Runtime,ue5-cpp-gameplay,audiomixersdl|audio|sound|metasound,email|translation|copywriting,Runtime\Linux\AudioMixerSDL\AudioMixerSDL.Build.cs
AudioMixerWasapi,Runtime,ue5-cpp-gameplay,audiomixerwasapi|audio|sound|metasound,email|translation|copywriting,Runtime\Windows\AudioMixerWasapi\AudioMixerWasapi.Build.cs
AudioMixerXAudio2,Runtime,ue5-cpp-gameplay,audiomixerxaudio2|audio|sound|metasound,email|translation|copywriting,Runtime\Windows\AudioMixerXAudio2\AudioMixerXAudio2.Build.cs
AudioPlatformConfiguration,Runtime,ue5-cpp-gameplay,audioplatformconfiguration|audio|sound|metasound,email|translation|copywriting,Runtime\AudioPlatformConfiguration\AudioPlatformConfiguration.Build.cs
AudioPlatformSupportWasapi,Runtime,ue5-cpp-gameplay,audioplatformsupportwasapi|audio|sound|metasound,email|translation|copywriting,Runtime\AudioPlatformSupport\Windows\WASAPI\AudioPlatformSupportWasapi.Build.cs
AugmentedReality,Runtime,ue5-architecture,augmentedreality|unreal|module|augmented,email|translation|copywriting,Runtime\AugmentedReality\AugmentedReality.build.cs
AutomationMessages,Runtime,ue5-architecture,automationmessages|unreal|module|automation,email|translation|copywriting,Runtime\AutomationMessages\AutomationMessages.Build.cs
AutomationTest,Runtime,ue5-architecture,automationtest|unreal|module|automation,email|translation|copywriting,Runtime\AutomationTest\AutomationTest.Build.cs
AutomationWorker,Runtime,ue5-architecture,automationworker|unreal|module|automation,email|translation|copywriting,Runtime\AutomationWorker\AutomationWorker.Build.cs
AutoRTFM,Runtime,ue5-architecture,autortfm|unreal|module|auto,email|translation|copywriting,Runtime\AutoRTFM\AutoRTFM.Build.cs
AVEncoder,Runtime,ue5-architecture,avencoder|unreal|module,email|translation|copywriting,Runtime\AVEncoder\AVEncoder.Build.cs
