ModuleName,Layer,DomainGuessV2,RelativeBuildCsPath,TriggerKeywords,TargetSkill,SecondarySkill,RouteConfidence,RouteReason
UbaCoordinatorHorde,Developer,General,Developer\UbaCoordinatorHorde\UbaCoordinatorHorde.Build.cs,unreal|module|uba|coordinator|horde,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UncontrolledChangelists,Developer,General,Developer\UncontrolledChangelists\UncontrolledChangelists.Build.cs,unreal|module|uncontrolled|changelists,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UndoHistory,Developer,General,Developer\UndoHistory\UndoHistory.Build.cs,unreal|module|undo|history,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UnsavedAssetsTracker,Developer,General,Developer\UnsavedAssetsTracker\Source\UnsavedAssetsTracker.Build.cs,unreal|module|unsaved|assets|tracker,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Virtualization,Developer,General,Developer\Virtualization\Virtualization.Build.cs,unreal|module|virtualization,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
VisualGraphUtils,Developer,General,Developer\VisualGraphUtils\VisualGraphUtils.Build.cs,unreal|module|visual|graph|utils,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
VulkanShaderFormat,Developer,Rendering,Developer\VulkanShaderFormat\VulkanShaderFormat.Build.cs,render|shader|rhi|vulkan|format,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
WidgetRegistration,Developer,UI,Developer\WidgetRegistration\WidgetRegistration.Build.cs,ui|umg|slate|widget|registration,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping
WindowsPlatformEditor,Developer,General,Developer\Windows\WindowsPlatformEditor\WindowsPlatformEditor.Build.cs,unreal|module|windows|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
WindowsTargetPlatform,Developer,General,Developer\Windows\WindowsTargetPlatform\WindowsTargetPlatform.Build.cs,unreal|module|windows|target|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
WindowsTargetPlatformControls,Developer,General,Developer\Windows\WindowsTargetPlatfomControls\WindowsTargetPlatformControls.Build.cs,unreal|module|windows|target|controls|platform|platfom,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
WindowsTargetPlatformSettings,Developer,General,Developer\Windows\WindowsTargetPlatformSettings\WindowsTargetPlatformSettings.Build.cs,unreal|module|windows|target|platform|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Zen,Developer,General,Developer\Zen\Zen.Build.cs,unreal|module|zen,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ZenOplogUtils,Developer,General,Developer\ZenOplogUtils\ZenOplogUtils.Build.cs,unreal|module|zen|oplog|utils,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ActionableMessage,Editor,General,Editor\ActionableMessage\ActionableMessage.build.cs,unreal|module|actionable|message,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ActorPickerMode,Editor,General,Editor\ActorPickerMode\ActorPickerMode.Build.cs,unreal|module|actor|picker|mode,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AddContentDialog,Editor,General,Editor\AddContentDialog\AddContentDialog.Build.cs,unreal|module|add|content|dialog,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AdvancedPreviewScene,Editor,General,Editor\AdvancedPreviewScene\AdvancedPreviewScene.Build.cs,unreal|module|advanced|preview|scene,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AIGraph,Editor,General,Editor\AIGraph\AIGraph.Build.cs,unreal|module|aigraph,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
AnimationBlueprintEditor,Editor,Animation,Editor\AnimationBlueprintEditor\AnimationBlueprintEditor.Build.cs,animation|skeletal|rig|blueprint,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimationBlueprintLibrary,Editor,Animation,Editor\AnimationBlueprintLibrary\AnimationBlueprintLibrary.build.cs,animation|skeletal|rig|blueprint|library,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimationEditMode,Editor,Animation,Editor\AnimationEditMode\AnimationEditMode.Build.cs,animation|skeletal|rig|edit|mode,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimationEditor,Editor,Animation,Editor\AnimationEditor\AnimationEditor.Build.cs,animation|skeletal|rig,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimationEditorWidgets,Editor,Animation,Editor\AnimationEditorWidgets\AnimationEditorWidgets.Build.cs,animation|skeletal|rig|widgets,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimationModifiers,Editor,Animation,Editor\AnimationModifiers\AnimationModifiers.Build.cs,animation|skeletal|rig|modifiers,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimationSettings,Editor,Animation,Editor\AnimationSettings\AnimationSettings.Build.cs,animation|skeletal|rig|settings,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AnimGraph,Editor,Animation,Editor\AnimGraph\AnimGraph.Build.cs,animation|skeletal|rig|anim|graph,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
AssetDefinition,Editor,AssetsBuildPipeline,Editor\AssetDefinition\AssetDefinition.Build.cs,asset|cook|package|definition,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
AssetTagsEditor,Editor,AssetsBuildPipeline,Editor\AssetTagsEditor\AssetTagsEditor.Build.cs,asset|cook|package|tags,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
AudioEditor,Editor,Audio,Editor\AudioEditor\AudioEditor.Build.cs,audio|sound|metasound,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
BehaviorTreeEditor,Editor,AI_Mass,Editor\BehaviorTreeEditor\BehaviorTreeEditor.Build.cs,ai|nav|mass|behavior|tree,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
BlueprintEditorLibrary,Editor,General,Editor\BlueprintEditorLibrary\BlueprintEditorLibrary.Build.cs,unreal|module|blueprint|library,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
BlueprintGraph,Editor,General,Editor\BlueprintGraph\BlueprintGraph.Build.cs,unreal|module|blueprint|graph,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Blutility,Editor,General,Editor\Blutility\Blutility.Build.cs,unreal|module|blutility,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ClassViewer,Editor,General,Editor\ClassViewer\ClassViewer.Build.cs,unreal|module|class|viewer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ClothingSystemEditor,Editor,General,Editor\ClothingSystemEditor\ClothingSystemEditor.Build.cs,unreal|module|clothing|system,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ClothingSystemEditorInterface,Editor,General,Editor\ClothingSystemEditorInterface\ClothingSystemEditorInterface.Build.cs,unreal|module|clothing|system|interface,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ClothPainter,Editor,Physics,Editor\ClothPainter\ClothPainter.Build.cs,physics|chaos|collision|cloth|painter,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping
CommonMenuExtensions,Editor,General,Editor\CommonMenuExtensions\CommonMenuExtensions.Build.cs,unreal|module|common|menu|extensions,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ComponentVisualizers,Editor,General,Editor\ComponentVisualizers\ComponentVisualizers.Build.cs,unreal|module|component|visualizers,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ConfigEditor,Editor,General,Editor\ConfigEditor\ConfigEditor.Build.cs,unreal|module|config,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ContentBrowser,Editor,General,Editor\ContentBrowser\ContentBrowser.Build.cs,unreal|module|content|browser,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ContentBrowserData,Editor,General,Editor\ContentBrowserData\ContentBrowserData.Build.cs,unreal|module|content|browser|data,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
CSVtoSVG,Editor,General,Editor\CSVtoSVG\CSVtoSVG.Build.cs,unreal|module|csvto|svg,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
CurveAssetEditor,Editor,AssetsBuildPipeline,Editor\CurveAssetEditor\CurveAssetEditor.Build.cs,asset|cook|package|curve,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
CurveEditor,Editor,General,Editor\CurveEditor\CurveEditor.Build.cs,unreal|module|curve,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
CurveTableEditor,Editor,General,Editor\CurveTableEditor\CurveTableEditor.Build.cs,unreal|module|curve|table,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DataHierarchyEditor,Editor,General,Editor\DataHierarchyEditor\DataHierarchyEditor.Build.cs,unreal|module|data|hierarchy,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DataLayerEditor,Editor,General,Editor\DataLayerEditor\DataLayerEditor.Build.cs,unreal|module|data|layer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DataTableEditor,Editor,General,Editor\DataTableEditor\DataTableEditor.Build.cs,unreal|module|data|table,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DerivedDataEditor,Editor,General,Editor\DerivedDataEditor\DerivedDataEditor.Build.cs,unreal|module|derived|data,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DerivedDataWidgets,Editor,General,Editor\DerivedDataWidgets\DerivedDataWidgets.Build.cs,unreal|module|derived|data|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DetailCustomizations,Editor,General,Editor\DetailCustomizations\DetailCustomizations.Build.cs,unreal|module|detail|customizations,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DeviceProfileEditor,Editor,General,Editor\DeviceProfileEditor\DeviceProfileEditor.Build.cs,unreal|module|device|profile,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DeviceProfileServices,Editor,General,Editor\DeviceProfileServices\DeviceProfileServices.Build.cs,unreal|module|device|profile|services,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
DistCurveEditor,Editor,General,Editor\DistCurveEditor\DistCurveEditor.Build.cs,unreal|module|dist|curve,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Documentation,Editor,General,Editor\Documentation\Documentation.Build.cs,unreal|module|documentation,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorConfig,Editor,General,Editor\EditorConfig\EditorConfig.Build.cs,unreal|module|config,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorFramework,Editor,General,Editor\EditorFramework\EditorFramework.Build.cs,unreal|module|framework,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorInteractiveToolsFramework,Editor,General,Editor\Experimental\EditorInteractiveToolsFramework\EditorInteractiveToolsFramework.Build.cs,unreal|module|interactive|tools|framework|experimental,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorSettingsViewer,Editor,General,Editor\EditorSettingsViewer\EditorSettingsViewer.Build.cs,unreal|module|settings|viewer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorStyle,Editor,General,Editor\EditorStyle\EditorStyle.Build.cs,unreal|module|style,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorSubsystem,Editor,General,Editor\EditorSubsystem\EditorSubsystem.Build.cs,unreal|module|subsystem,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorToolEvents,Editor,General,Editor\EditorToolEvents\EditorToolEvents.Build.cs,unreal|module|tool|events,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EditorWidgets,Editor,General,Editor\EditorWidgets\EditorWidgets.Build.cs,unreal|module|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
EnvironmentLightingViewer,Editor,General,Editor\EnvironmentLightingViewer\EnvironmentLightingViewer.Build.cs,unreal|module|environment|lighting|viewer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
FoliageEdit,Editor,General,Editor\FoliageEdit\FoliageEdit.build.cs,unreal|module|foliage|edit,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
FontEditor,Editor,General,Editor\FontEditor\FontEditor.Build.cs,unreal|module|font,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
GameplayDebuggerEditor,Editor,GameplayFramework,Editor\GameplayDebugger\GameplayDebuggerEditor.Build.cs,gameplay|ability|input|debugger,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
GameplayTasksEditor,Editor,GameplayFramework,Editor\GameplayTasksEditor\GameplayTasksEditor.Build.cs,gameplay|ability|input|tasks,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
GameProjectGeneration,Editor,General,Editor\GameProjectGeneration\GameProjectGeneration.Build.cs,unreal|module|game|project|generation,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
GraphEditor,Editor,General,Editor\GraphEditor\GraphEditor.Build.cs,unreal|module|graph,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
HardwareTargeting,Editor,General,Editor\HardwareTargeting\HardwareTargeting.Build.cs,unreal|module|hardware|targeting,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
HierarchicalLODOutliner,Editor,General,Editor\HierarchicalLODOutliner\HierarchicalLODOutliner.Build.cs,unreal|module|hierarchical|lodoutliner,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
InputBindingEditor,Editor,GameplayFramework,Editor\InputBindingEditor\InputBindingEditor.Build.cs,gameplay|ability|input|binding,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
InputBindingSettingsViewer,Editor,GameplayFramework,Editor\InputBindingSettingsViewer\InputBindingSettingsViewer.Build.cs,gameplay|ability|input|binding|settings|viewer,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
InternationalizationSettings,Editor,General,Editor\InternationalizationSettings\InternationalizationSettings.Build.cs,unreal|module|internationalization|settings,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
JsonUtilitiesEditor,Editor,General,Editor\JsonUtilitiesEditor\JsonUtilitiesEditor.Build.cs,unreal|module|json|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Kismet,Editor,General,Editor\Kismet\Kismet.Build.cs,unreal|module|kismet,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
KismetCompiler,Editor,General,Editor\KismetCompiler\KismetCompiler.Build.cs,unreal|module|kismet|compiler,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
KismetWidgets,Editor,General,Editor\KismetWidgets\KismetWidgets.Build.cs,unreal|module|kismet|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LandscapeEditor,Editor,General,Editor\LandscapeEditor\LandscapeEditor.Build.cs,unreal|module|landscape,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LandscapeEditorUtilities,Editor,General,Editor\LandscapeEditorUtilities\LandscapeEditorUtilities.Build.cs,unreal|module|landscape|utilities,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Layers,Editor,General,Editor\Layers\Layers.Build.cs,unreal|module|layers,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LevelEditor,Editor,General,Editor\LevelEditor\LevelEditor.Build.cs,unreal|module|level,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LevelInstanceEditor,Editor,General,Editor\LevelInstanceEditor\LevelInstanceEditor.Build.cs,unreal|module|level|instance,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LocalizationCommandletExecution,Editor,General,Editor\LocalizationCommandletExecution\LocalizationCommandletExecution.Build.cs,unreal|module|localization|commandlet|execution,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
LocalizationDashboard,Editor,General,Editor\LocalizationDashboard\LocalizationDashboard.Build.cs,unreal|module|localization|dashboard,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MainFrame,Editor,General,Editor\MainFrame\MainFrame.Build.cs,unreal|module|main|frame,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MassEntityDebugger,Editor,AI_Mass,Editor\MassEntityDebugger\MassEntityDebugger.Build.cs,ai|nav|mass|entity|debugger,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
MassEntityEditor,Editor,AI_Mass,Editor\MassEntityEditor\MassEntityEditor.Build.cs,ai|nav|mass|entity,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
MaterialEditor,Editor,Rendering,Editor\MaterialEditor\MaterialEditor.Build.cs,render|shader|rhi|material,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
MergeActors,Editor,General,Editor\MergeActors\MergeActors.Build.cs,unreal|module|merge|actors,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MeshPaint,Editor,General,Editor\MeshPaint\MeshPaint.Build.cs,unreal|module|mesh|paint,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MirrorDataTableEditor,Editor,General,Editor\MirrorDataTableEditor\MirrorDataTableEditor.Build.cs,unreal|module|mirror|data|table,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
MovieSceneCaptureDialog,Editor,Media,Editor\MovieSceneCaptureDialog\MovieSceneCaptureDialog.Build.cs,media|movie|video|scene|capture|dialog,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
MovieSceneTools,Editor,Media,Editor\MovieSceneTools\MovieSceneTools.Build.cs,media|movie|video|scene|tools,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
NewLevelDialog,Editor,General,Editor\NewLevelDialog\NewLevelDialog.Build.cs,unreal|module|new|level|dialog,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
NNEEditor,Editor,General,Editor\NNEEditor\NNEEditor.Build.cs,unreal|module|nneeditor,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
OverlayEditor,Editor,General,Editor\OverlayEditor\OverlayEditor.Build.cs,unreal|module|overlay,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PackagesDialog,Editor,General,Editor\PackagesDialog\PackagesDialog.Build.cs,unreal|module|packages|dialog,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Persona,Editor,General,Editor\Persona\Persona.Build.cs,unreal|module|persona,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PhysicsAssetEditor,Editor,Physics,Editor\PhysicsAssetEditor\PhysicsAssetEditor.Build.cs,physics|chaos|collision|asset,ue5-world-interaction,ue5-cpp-gameplay,medium,domain_mapping
PIEPreviewDeviceProfileSelector,Editor,General,Editor\PIEPreviewDeviceProfileSelector\PIEPreviewDeviceProfileSelector.Build.cs,unreal|module|piepreview|device|profile|selector,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PIEPreviewDeviceSpecification,Editor,General,Editor\PIEPreviewDeviceSpecification\PIEPreviewDeviceSpecification.Build.cs,unreal|module|piepreview|device|specification,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PinnedCommandList,Editor,General,Editor\PinnedCommandList\PinnedCommandList.Build.cs,unreal|module|pinned|command|list,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PixelInspectorModule,Editor,General,Editor\PixelInspector\PixelInspectorModule.Build.cs,unreal|module|pixel|inspector,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PlacementMode,Editor,General,Editor\PlacementMode\PlacementMode.Build.cs,unreal|module|placement|mode,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PListEditor,Editor,General,Editor\PListEditor\PListEditor.Build.cs,unreal|module|plist,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PluginWarden,Editor,General,Editor\PluginWarden\PluginWarden.Build.cs,unreal|module|plugin|warden,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ProjectSettingsViewer,Editor,General,Editor\ProjectSettingsViewer\ProjectSettingsViewer.Build.cs,unreal|module|project|settings|viewer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ProjectTargetPlatformEditor,Editor,General,Editor\ProjectTargetPlatformEditor\ProjectTargetPlatformEditor.Build.cs,unreal|module|project|target|platform,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
PropertyEditor,Editor,General,Editor\PropertyEditor\PropertyEditor.Build.cs,unreal|module|property,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
RenderResourceViewer,Editor,Rendering,Editor\RenderResourceViewer\RenderResourceViewer.Build.cs,render|shader|rhi|resource|viewer,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
RewindDebuggerInterface,Editor,General,Editor\RewindDebuggerInterface\RewindDebuggerInterface.Build.cs,unreal|module|rewind|debugger|interface,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SceneDepthPickerMode,Editor,General,Editor\SceneDepthPickerMode\SceneDepthPickerMode.Build.cs,unreal|module|scene|depth|picker|mode,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SceneOutliner,Editor,General,Editor\SceneOutliner\SceneOutliner.Build.cs,unreal|module|scene|outliner,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ScriptableEditorWidgets,Editor,General,Editor\ScriptableEditorWidgets\ScriptableEditorWidgets.Build.cs,unreal|module|scriptable|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
Sequencer,Editor,General,Editor\Sequencer\Sequencer.Build.cs,unreal|module|sequencer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SequencerCore,Editor,CoreEngine,Editor\SequencerCore\SequencerCore.Build.cs,core|engine|uobject|sequencer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SequenceRecorder,Editor,General,Editor\SequenceRecorder\SequenceRecorder.Build.cs,unreal|module|sequence|recorder,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SequenceRecorderSections,Editor,General,Editor\SequenceRecorderSections\SequenceRecorderSections.Build.cs,unreal|module|sequence|recorder|sections,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SequencerWidgets,Editor,General,Editor\SequencerWidgets\SequencerWidgets.Build.cs,unreal|module|sequencer|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SkeletalMeshEditor,Editor,Animation,Editor\SkeletalMeshEditor\SkeletalMeshEditor.Build.cs,animation|skeletal|rig|mesh,ue5-cpp-gameplay,ue5-architecture,medium,domain_mapping
SkeletonEditor,Editor,General,Editor\SkeletonEditor\SkeletonEditor.Build.cs,unreal|module|skeleton,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SourceControlWindowExtender,Editor,General,Editor\SourceControlWindowExtender\SourceControlWindowExtender.Build.cs,unreal|module|control|window|extender,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SourceControlWindows,Editor,General,Editor\SourceControlWindows\SourceControlWindows.Build.cs,unreal|module|control|windows,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SparseVolumeTexture,Editor,General,Editor\SparseVolumeTexture\SparseVolumeTexture.Build.cs,unreal|module|sparse|volume|texture,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StaticMeshEditor,Editor,General,Editor\StaticMeshEditor\StaticMeshEditor.Build.cs,unreal|module|static|mesh,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StatsViewer,Editor,General,Editor\StatsViewer\StatsViewer.Build.cs,unreal|module|stats|viewer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StatusBar,Editor,General,Editor\StatusBar\StatusBar.Build.cs,unreal|module|status|bar,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StorageServerWidgets,Editor,General,Editor\StorageServerWidgets\StorageServerWidgets.Build.cs,unreal|module|storage|server|widgets,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StringTableEditor,Editor,General,Editor\StringTableEditor\StringTableEditor.Build.cs,unreal|module|string|table,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StructUtilsEditor,Editor,General,Editor\StructUtilsEditor\StructUtilsEditor.Build.cs,unreal|module|struct|utils,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
StructViewer,Editor,General,Editor\StructViewer\StructViewer.Build.cs,unreal|module|struct|viewer,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SubobjectDataInterface,Editor,General,Editor\SubobjectDataInterface\SubobjectDataInterface.Build.cs,unreal|module|subobject|data|interface,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SubobjectEditor,Editor,General,Editor\SubobjectEditor\SubobjectEditor.Build.cs,unreal|module|subobject,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SVGDistanceField,Editor,General,Editor\SVGDistanceField\SVGDistanceField.Build.cs,unreal|module|svgdistance|field,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
SwarmInterface,Editor,General,Editor\SwarmInterface\SwarmInterface.Build.cs,unreal|module|swarm|interface,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TextureEditor,Editor,General,Editor\TextureEditor\TextureEditor.Build.cs,unreal|module|texture,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ToolMenusEditor,Editor,General,Editor\ToolMenusEditor\ToolMenusEditor.Build.cs,unreal|module|tool|menus,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
TurnkeySupport,Editor,General,Editor\TurnkeySupport\TurnkeySupport.Build.cs,unreal|module|turnkey|support,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UATHelper,Editor,General,Editor\UATHelper\UATHelper.Build.cs,unreal|module|uathelper,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UMGEditor,Editor,UI,Editor\UMGEditor\UMGEditor.Build.cs,ui|umg|slate|umgeditor,ue5-ui-umg-slate,ue5-cpp-gameplay,medium,domain_mapping
UndoHistoryEditor,Editor,General,Editor\UndoHistoryEditor\UndoHistoryEditor.Build.cs,unreal|module|undo|history,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UniversalObjectLocatorEditor,Editor,General,Editor\UniversalObjectLocatorEditor\UniversalObjectLocatorEditor.Build.cs,unreal|module|universal|object|locator,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UnrealEd,Editor,General,Editor\UnrealEd\UnrealEd.Build.cs,unreal|module,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UnrealEdMessages,Editor,General,Editor\UnrealEdMessages\UnrealEdMessages.Build.cs,unreal|module|messages,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
UserAssetTagsEditor,Editor,AssetsBuildPipeline,Editor\UserAssetTagsEditor\UserAssetTagsEditor.Build.cs,asset|cook|package|user|tags,ue5-performance-packaging,ue5-architecture,medium,domain_mapping
ViewportInteraction,Editor,General,Editor\ViewportInteraction\ViewportInteraction.Build.cs,unreal|module|viewport|interaction,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
ViewportSnapping,Editor,General,Editor\ViewportSnapping\ViewportSnapping.Build.cs,unreal|module|viewport|snapping,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
VirtualizationEditor,Editor,General,Editor\VirtualizationEditor\VirtualizationEditor.Build.cs,unreal|module|virtualization,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
VirtualTexturingEditor,Editor,General,Editor\VirtualTexturingEditor\VirtualTexturingEditor.Build.cs,unreal|module|virtual|texturing,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
VREditor,Editor,General,Editor\VREditor\VREditor.Build.cs,unreal|module|vreditor,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
WorkspaceMenuStructure,Editor,General,Editor\WorkspaceMenuStructure\WorkspaceMenuStructure.Build.cs,unreal|module|workspace|menu|structure,ue5-architecture,ue5-cpp-gameplay,medium,domain_mapping
