ModuleName,Layer,DomainGuess,RelativeBuildCsPath,TriggerKeywords
GameplayTasksEditor,Editor,UI,Editor\GameplayTasksEditor\GameplayTasksEditor.Build.cs,gameplaytaskseditor|slate|umg|widget
GameProjectGeneration,Editor,UI,Editor\GameProjectGeneration\GameProjectGeneration.Build.cs,gameprojectgeneration|slate|umg|widget
GraphEditor,Editor,UI,Editor\GraphEditor\GraphEditor.Build.cs,grapheditor|slate|umg|widget
HardwareTargeting,Editor,UI,Editor\HardwareTargeting\HardwareTargeting.Build.cs,hardwaretargeting|slate|umg|widget
HierarchicalLODOutliner,Editor,UI,Editor\HierarchicalLODOutliner\HierarchicalLODOutliner.Build.cs,hierarchicallodoutliner|slate|umg|widget
InputBindingEditor,Editor,UI,Editor\InputBindingEditor\InputBindingEditor.Build.cs,inputbindingeditor|slate|umg|widget
InternationalizationSettings,Editor,UI,Editor\InternationalizationSettings\InternationalizationSettings.Build.cs,internationalizationsettings|slate|umg|widget
Kismet,Editor,UI,Editor\Kismet\Kismet.Build.cs,kismet|slate|umg|widget
KismetCompiler,Editor,UI,Editor\KismetCompiler\KismetCompiler.Build.cs,kismetcompiler|slate|umg|widget
KismetWidgets,Editor,UI,Editor\KismetWidgets\KismetWidgets.Build.cs,kismetwidgets|slate|umg|widget
LandscapeEditor,Editor,UI,Editor\LandscapeEditor\LandscapeEditor.Build.cs,landscapeeditor|slate|umg|widget
LandscapeEditorUtilities,Editor,UI,Editor\LandscapeEditorUtilities\LandscapeEditorUtilities.Build.cs,landscapeeditorutilities|slate|umg|widget
Layers,Editor,UI,Editor\Layers\Layers.Build.cs,layers|slate|umg|widget
LevelEditor,Editor,UI,Editor\LevelEditor\LevelEditor.Build.cs,leveleditor|slate|umg|widget
LevelInstanceEditor,Editor,UI,Editor\LevelInstanceEditor\LevelInstanceEditor.Build.cs,levelinstanceeditor|slate|umg|widget
LocalizationCommandletExecution,Editor,UI,Editor\LocalizationCommandletExecution\LocalizationCommandletExecution.Build.cs,localizationcommandletexecution|slate|umg|widget
LocalizationDashboard,Editor,UI,Editor\LocalizationDashboard\LocalizationDashboard.Build.cs,localizationdashboard|slate|umg|widget
MainFrame,Editor,UI,Editor\MainFrame\MainFrame.Build.cs,mainframe|slate|umg|widget
MassEntityDebugger,Editor,AI_Mass,Editor\MassEntityDebugger\MassEntityDebugger.Build.cs,massentitydebugger|mass|nav
MassEntityEditor,Editor,AI_Mass,Editor\MassEntityEditor\MassEntityEditor.Build.cs,massentityeditor|mass|nav
MaterialEditor,Editor,Rendering,Editor\MaterialEditor\MaterialEditor.Build.cs,materialeditor|render|rhi|shader
MergeActors,Editor,UI,Editor\MergeActors\MergeActors.Build.cs,mergeactors|slate|umg|widget
MeshPaint,Editor,UI,Editor\MeshPaint\MeshPaint.Build.cs,meshpaint|slate|umg|widget
MovieSceneCaptureDialog,Editor,UI,Editor\MovieSceneCaptureDialog\MovieSceneCaptureDialog.Build.cs,moviescenecapturedialog|slate|umg|widget
MovieSceneTools,Editor,NetworkingOnline,Editor\MovieSceneTools\MovieSceneTools.Build.cs,moviescenetools|network|online|replication
NewLevelDialog,Editor,UI,Editor\NewLevelDialog\NewLevelDialog.Build.cs,newleveldialog|slate|umg|widget
NNEEditor,Editor,UI,Editor\NNEEditor\NNEEditor.Build.cs,nneeditor|slate|umg|widget
OverlayEditor,Editor,UI,Editor\OverlayEditor\OverlayEditor.Build.cs,overlayeditor|slate|umg|widget
PackagesDialog,Editor,UI,Editor\PackagesDialog\PackagesDialog.Build.cs,packagesdialog|slate|umg|widget
Persona,Editor,UI,Editor\Persona\Persona.Build.cs,persona|slate|umg|widget
PhysicsAssetEditor,Editor,Physics,Editor\PhysicsAssetEditor\PhysicsAssetEditor.Build.cs,physicsasseteditor|chaos|collision|physics
PIEPreviewDeviceProfileSelector,Editor,UI,Editor\PIEPreviewDeviceProfileSelector\PIEPreviewDeviceProfileSelector.Build.cs,piepreviewdeviceprofileselector|slate|umg|widget
PIEPreviewDeviceSpecification,Editor,UI,Editor\PIEPreviewDeviceSpecification\PIEPreviewDeviceSpecification.Build.cs,piepreviewdevicespecification|slate|umg|widget
PinnedCommandList,Editor,UI,Editor\PinnedCommandList\PinnedCommandList.Build.cs,pinnedcommandlist|slate|umg|widget
PixelInspectorModule,Editor,UI,Editor\PixelInspector\PixelInspectorModule.Build.cs,pixelinspectormodule|pixelinspector|slate|umg|widget
PlacementMode,Editor,UI,Editor\PlacementMode\PlacementMode.Build.cs,placementmode|slate|umg|widget
PListEditor,Editor,UI,Editor\PListEditor\PListEditor.Build.cs,plisteditor|slate|umg|widget
PluginWarden,Editor,UI,Editor\PluginWarden\PluginWarden.Build.cs,pluginwarden|slate|umg|widget
ProjectSettingsViewer,Editor,UI,Editor\ProjectSettingsViewer\ProjectSettingsViewer.Build.cs,projectsettingsviewer|slate|umg|widget
ProjectTargetPlatformEditor,Editor,UI,Editor\ProjectTargetPlatformEditor\ProjectTargetPlatformEditor.Build.cs,projecttargetplatformeditor|slate|umg|widget
PropertyEditor,Editor,UI,Editor\PropertyEditor\PropertyEditor.Build.cs,propertyeditor|slate|umg|widget
RenderResourceViewer,Editor,Rendering,Editor\RenderResourceViewer\RenderResourceViewer.Build.cs,renderresourceviewer|render|rhi|shader
RewindDebuggerInterface,Editor,UI,Editor\RewindDebuggerInterface\RewindDebuggerInterface.Build.cs,rewinddebuggerinterface|slate|umg|widget
SceneDepthPickerMode,Editor,UI,Editor\SceneDepthPickerMode\SceneDepthPickerMode.Build.cs,scenedepthpickermode|slate|umg|widget
SceneOutliner,Editor,UI,Editor\SceneOutliner\SceneOutliner.Build.cs,sceneoutliner|slate|umg|widget
ScriptableEditorWidgets,Editor,UI,Editor\ScriptableEditorWidgets\ScriptableEditorWidgets.Build.cs,scriptableeditorwidgets|slate|umg|widget
Sequencer,Editor,UI,Editor\Sequencer\Sequencer.Build.cs,sequencer|slate|umg|widget
SequencerCore,Editor,UI,Editor\SequencerCore\SequencerCore.Build.cs,sequencercore|slate|umg|widget
SequenceRecorder,Editor,UI,Editor\SequenceRecorder\SequenceRecorder.Build.cs,sequencerecorder|slate|umg|widget
SequenceRecorderSections,Editor,UI,Editor\SequenceRecorderSections\SequenceRecorderSections.Build.cs,sequencerecordersections|slate|umg|widget
SequencerWidgets,Editor,UI,Editor\SequencerWidgets\SequencerWidgets.Build.cs,sequencerwidgets|slate|umg|widget
SerializedRecorderInterface,Editor,UI,Editor\SerializedRecorderInterface\SerializedRecorderInterface.Build.cs,serializedrecorderinterface|slate|umg|widget
SkeletalMeshEditor,Editor,Animation,Editor\SkeletalMeshEditor\SkeletalMeshEditor.Build.cs,skeletalmesheditor|animation|rig|skeletal
SkeletonEditor,Editor,UI,Editor\SkeletonEditor\SkeletonEditor.Build.cs,skeletoneditor|slate|umg|widget
SourceControlWindowExtender,Editor,UI,Editor\SourceControlWindowExtender\SourceControlWindowExtender.Build.cs,sourcecontrolwindowextender|slate|umg|widget
SourceControlWindows,Editor,UI,Editor\SourceControlWindows\SourceControlWindows.Build.cs,sourcecontrolwindows|slate|umg|widget
SparseVolumeTexture,Editor,UI,Editor\SparseVolumeTexture\SparseVolumeTexture.Build.cs,sparsevolumetexture|slate|umg|widget
StaticMeshEditor,Editor,UI,Editor\StaticMeshEditor\StaticMeshEditor.Build.cs,staticmesheditor|slate|umg|widget
StatsViewer,Editor,UI,Editor\StatsViewer\StatsViewer.Build.cs,statsviewer|slate|umg|widget
StatusBar,Editor,UI,Editor\StatusBar\StatusBar.Build.cs,statusbar|slate|umg|widget
StorageServerWidgets,Editor,UI,Editor\StorageServerWidgets\StorageServerWidgets.Build.cs,storageserverwidgets|slate|umg|widget
StringTableEditor,Editor,UI,Editor\StringTableEditor\StringTableEditor.Build.cs,stringtableeditor|slate|umg|widget
StructUtilsEditor,Editor,UI,Editor\StructUtilsEditor\StructUtilsEditor.Build.cs,structutilseditor|slate|umg|widget
StructViewer,Editor,UI,Editor\StructViewer\StructViewer.Build.cs,structviewer|slate|umg|widget
SubobjectDataInterface,Editor,UI,Editor\SubobjectDataInterface\SubobjectDataInterface.Build.cs,subobjectdatainterface|slate|umg|widget
SubobjectEditor,Editor,UI,Editor\SubobjectEditor\SubobjectEditor.Build.cs,subobjecteditor|slate|umg|widget
SVGDistanceField,Editor,UI,Editor\SVGDistanceField\SVGDistanceField.Build.cs,svgdistancefield|slate|umg|widget
SwarmInterface,Editor,UI,Editor\SwarmInterface\SwarmInterface.Build.cs,swarminterface|slate|umg|widget
TextureEditor,Editor,UI,Editor\TextureEditor\TextureEditor.Build.cs,textureeditor|slate|umg|widget
ToolMenusEditor,Editor,UI,Editor\ToolMenusEditor\ToolMenusEditor.Build.cs,toolmenuseditor|slate|umg|widget
TurnkeySupport,Editor,UI,Editor\TurnkeySupport\TurnkeySupport.Build.cs,turnkeysupport|slate|umg|widget
UATHelper,Editor,UI,Editor\UATHelper\UATHelper.Build.cs,uathelper|slate|umg|widget
UMGEditor,Editor,UI,Editor\UMGEditor\UMGEditor.Build.cs,umgeditor|slate|umg|widget
UndoHistoryEditor,Editor,UI,Editor\UndoHistoryEditor\UndoHistoryEditor.Build.cs,undohistoryeditor|slate|umg|widget
UniversalObjectLocatorEditor,Editor,UI,Editor\UniversalObjectLocatorEditor\UniversalObjectLocatorEditor.Build.cs,universalobjectlocatoreditor|slate|umg|widget
UnrealEd,Editor,UI,Editor\UnrealEd\UnrealEd.Build.cs,unrealed|slate|umg|widget
UnrealEdMessages,Editor,UI,Editor\UnrealEdMessages\UnrealEdMessages.Build.cs,unrealedmessages|slate|umg|widget
ViewportInteraction,Editor,UI,Editor\ViewportInteraction\ViewportInteraction.Build.cs,viewportinteraction|slate|umg|widget
ViewportSnapping,Editor,UI,Editor\ViewportSnapping\ViewportSnapping.Build.cs,viewportsnapping|slate|umg|widget
VirtualizationEditor,Editor,UI,Editor\VirtualizationEditor\VirtualizationEditor.Build.cs,virtualizationeditor|slate|umg|widget
VirtualTexturingEditor,Editor,UI,Editor\VirtualTexturingEditor\VirtualTexturingEditor.Build.cs,virtualtexturingeditor|slate|umg|widget
VREditor,Editor,UI,Editor\VREditor\VREditor.Build.cs,vreditor|slate|umg|widget
WorkspaceMenuStructure,Editor,UI,Editor\WorkspaceMenuStructure\WorkspaceMenuStructure.Build.cs,workspacemenustructure|slate|umg|widget
WorldBookmark,Editor,UI,Editor\WorldBookmark\WorldBookmark.Build.cs,worldbookmark|slate|umg|widget
WorldBrowser,Editor,UI,Editor\WorldBrowser\WorldBrowser.Build.cs,worldbrowser|slate|umg|widget
WorldPartitionEditor,Editor,UI,Editor\WorldPartitionEditor\WorldPartitionEditor.Build.cs,worldpartitioneditor|slate|umg|widget
ZenEditor,Editor,UI,Editor\ZenEditor\ZenEditor.Build.cs,zeneditor|slate|umg|widget
DotNetPerforceLib,Programs,NetworkingOnline,Programs\Shared\EpicGames.Perforce.Native\DotNetPerforceLib.Build.cs,dotnetperforcelib|epicgames|native|network|online|perforce|programs|replication
LiveLinkHubLauncher,Programs,UI,Programs\LiveLinkHub\Source\LiveLinkHubLauncher\LiveLinkHubLauncher.Build.cs,livelinkhublauncher|livelinkhub|programs|slate|umg|widget
AdpcmAudioDecoder,Runtime,Audio,Runtime\AdpcmAudioDecoder\Module\AdpcmAudioDecoder.Build.cs,adpcmaudiodecoder|audio|metasound|sound
AdvancedWidgets,Runtime,UI,Runtime\AdvancedWidgets\AdvancedWidgets.Build.cs,advancedwidgets|slate|umg|widget
Advertising,Runtime,UI,Runtime\Advertising\Advertising\Advertising.Build.cs,advertising|slate|umg|widget
AIModule,Runtime,AI_Mass,Runtime\AIModule\AIModule.Build.cs,aimodule|mass|nav
Analytics,Runtime,UI,Runtime\Analytics\Analytics\Analytics.Build.cs,analytics|slate|umg|widget
AnalyticsET,Runtime,UI,Runtime\Analytics\AnalyticsET\AnalyticsET.Build.cs,analyticset|analytics|slate|umg|widget
AnalyticsHorde,Runtime,UI,Runtime\Analytics\AnalyticsHorde\AnalyticsHorde.Build.cs,analyticshorde|analytics|slate|umg|widget
AnalyticsLog,Runtime,UI,Runtime\Analytics\AnalyticsLog\AnalyticsLog.Build.cs,analyticslog|analytics|slate|umg|widget
AnalyticsSwrve,Runtime,UI,Runtime\Analytics\AnalyticsSwrve\AnalyticsSwrve.Build.cs,analyticsswrve|analytics|slate|umg|widget
AnalyticsVisualEditing,Runtime,UI,Runtime\Analytics\AnalyticsVisualEditing\AnalyticsVisualEditing.Build.cs,analyticsvisualediting|analytics|slate|umg|widget
AndroidAdvertising,Runtime,UI,Runtime\Advertising\Android\AndroidAdvertising\AndroidAdvertising.Build.cs,androidadvertising|advertising|android|slate|umg|widget
AndroidLocalNotification,Runtime,UI,Runtime\Android\AndroidLocalNotification\AndroidLocalNotification.Build.cs,androidlocalnotification|android|slate|umg|widget
AndroidRuntimeSettings,Runtime,UI,Runtime\Android\AndroidRuntimeSettings\AndroidRuntimeSettings.Build.cs,androidruntimesettings|android|slate|umg|widget
AnimationCore,Runtime,Animation,Runtime\AnimationCore\AnimationCore.Build.cs,animationcore|animation|rig|skeletal
AnimGraphRuntime,Runtime,Animation,Runtime\AnimGraphRuntime\AnimGraphRuntime.Build.cs,animgraphruntime|animation|rig|skeletal
AppFramework,Runtime,UI,Runtime\AppFramework\AppFramework.Build.cs,appframework|slate|umg|widget
ApplicationCore,Runtime,UI,Runtime\ApplicationCore\ApplicationCore.Build.cs,applicationcore|slate|umg|widget
AssetRegistry,Runtime,UI,Runtime\AssetRegistry\AssetRegistry.Build.cs,assetregistry|slate|umg|widget
AudioAnalyzer,Runtime,Audio,Runtime\AudioAnalyzer\AudioAnalyzer.Build.cs,audioanalyzer|audio|metasound|sound
AudioCaptureAndroid,Runtime,Audio,Runtime\AudioCaptureImplementations\Android\AudioCaptureAndroid\AudioCaptureAndroid.Build.cs,audiocaptureandroid|android|audio|audiocaptureimplementations|metasound|sound
AudioCaptureAudioUnit,Runtime,Audio,Runtime\AudioCaptureImplementations\IOS\AudioCaptureAudioUnit\AudioCaptureAudioUnit.Build.cs,audiocaptureaudiounit|audio|audiocaptureimplementations|ios|metasound|sound
AudioCaptureCore,Runtime,Audio,Runtime\AudioCaptureCore\AudioCaptureCore.Build.cs,audiocapturecore|audio|metasound|sound
AudioCaptureRtAudio,Runtime,Audio,Runtime\AudioCaptureImplementations\AudioCaptureRtAudio\AudioCaptureRtAudio.Build.cs,audiocapturertaudio|audio|audiocaptureimplementations|metasound|sound
AudioCaptureWasapi,Runtime,Audio,Runtime\AudioCaptureImplementations\Windows\AudioCaputureWasapi\AudioCaptureWasapi.Build.cs,audiocapturewasapi|audio|audiocaptureimplementations|audiocaputurewasapi|metasound|sound|windows
AudioExtensions,Runtime,Audio,Runtime\AudioExtensions\AudioExtensions.Build.cs,audioextensions|audio|metasound|sound
AudioLinkCore,Runtime,Audio,Runtime\AudioLink\AudioLinkCore\AudioLinkCore.Build.cs,audiolinkcore|audio|audiolink|metasound|sound
AudioLinkEngine,Runtime,Audio,Runtime\AudioLink\AudioLinkEngine\AudioLinkEngine.Build.cs,audiolinkengine|audio|audiolink|metasound|sound
AudioMixer,Runtime,Audio,Runtime\AudioMixer\AudioMixer.Build.cs,audiomixer|audio|metasound|sound
AudioMixerAndroid,Runtime,Audio,Runtime\Android\AudioMixerAndroid\AudioMixerAndroid.Build.cs,audiomixerandroid|android|audio|metasound|sound
AudioMixerAudioUnit,Runtime,Audio,Runtime\Apple\AudioMixerAudioUnit\AudioMixerAudioUnit.Build.cs,audiomixeraudiounit|apple|audio|metasound|sound
AudioMixerCore,Runtime,Audio,Runtime\AudioMixerCore\AudioMixerCore.Build.cs,audiomixercore|audio|metasound|sound
AudioMixerCoreAudio,Runtime,Audio,Runtime\Apple\AudioMixerCoreAudio\AudioMixerCoreAudio.Build.cs,audiomixercoreaudio|apple|audio|metasound|sound
AudioMixerPlatformAudioLink,Runtime,Audio,Runtime\AudioLink\AudioMixerPlatformAudioLink\AudioMixerPlatformAudioLink.Build.cs,audiomixerplatformaudiolink|audio|audiolink|metasound|sound
AudioMixerSDL,Runtime,Audio,Runtime\Linux\AudioMixerSDL\AudioMixerSDL.Build.cs,audiomixersdl|audio|linux|metasound|sound
AudioMixerWasapi,Runtime,Audio,Runtime\Windows\AudioMixerWasapi\AudioMixerWasapi.Build.cs,audiomixerwasapi|audio|metasound|sound|windows
AudioMixerXAudio2,Runtime,Audio,Runtime\Windows\AudioMixerXAudio2\AudioMixerXAudio2.Build.cs,audiomixerxaudio2|audio|metasound|sound|windows
AudioPlatformConfiguration,Runtime,Audio,Runtime\AudioPlatformConfiguration\AudioPlatformConfiguration.Build.cs,audioplatformconfiguration|audio|metasound|sound
AudioPlatformSupportWasapi,Runtime,Audio,Runtime\AudioPlatformSupport\Windows\WASAPI\AudioPlatformSupportWasapi.Build.cs,audioplatformsupportwasapi|audio|audioplatformsupport|metasound|sound|wasapi|windows
AugmentedReality,Runtime,UI,Runtime\AugmentedReality\AugmentedReality.build.cs,augmentedreality|slate|umg|widget
AutomationMessages,Runtime,UI,Runtime\AutomationMessages\AutomationMessages.Build.cs,automationmessages|slate|umg|widget
AutomationTest,Runtime,UI,Runtime\AutomationTest\AutomationTest.Build.cs,automationtest|slate|umg|widget
AutomationWorker,Runtime,UI,Runtime\AutomationWorker\AutomationWorker.Build.cs,automationworker|slate|umg|widget
AutoRTFM,Runtime,UI,Runtime\AutoRTFM\AutoRTFM.Build.cs,autortfm|slate|umg|widget
AVEncoder,Runtime,UI,Runtime\AVEncoder\AVEncoder.Build.cs,avencoder|slate|umg|widget
AVIWriter,Runtime,UI,Runtime\AVIWriter\AVIWriter.Build.cs,aviwriter|slate|umg|widget
BackgroundHTTP,Runtime,NetworkingOnline,Runtime\Online\BackgroundHTTP\BackgroundHTTP.Build.cs,backgroundhttp|online|network|replication
BackgroundHTTPFileHash,Runtime,NetworkingOnline,Runtime\Online\BackgroundHTTPFileHash\BackgroundHTTPFileHash.Build.cs,backgroundhttpfilehash|online|network|replication
BinkAudioDecoder,Runtime,Audio,Runtime\BinkAudioDecoder\Module\BinkAudioDecoder.Build.cs,binkaudiodecoder|audio|metasound|sound
BlueprintRuntime,Runtime,UI,Runtime\BlueprintRuntime\BlueprintRuntime.Build.cs,blueprintruntime|slate|umg|widget
BuildPatchServices,Runtime,NetworkingOnline,Runtime\Online\BuildPatchServices\BuildPatchServices.Build.cs,buildpatchservices|online|network|replication
BuildSettings,Runtime,UI,Runtime\BuildSettings\BuildSettings.Build.cs,buildsettings|slate|umg|widget
CADKernel,Runtime,UI,Runtime\Datasmith\CADKernel\Base\CADKernel.Build.cs,cadkernel|base|datasmith|slate|umg|widget
CADKernelEngine,Runtime,UI,Runtime\Datasmith\CADKernel\Engine\CADKernelEngine.Build.cs,cadkernelengine|cadkernel|datasmith|slate|umg|widget
Cbor,Runtime,UI,Runtime\Cbor\Cbor.Build.cs,cbor|slate|umg|widget
CEF3Utils,Runtime,UI,Runtime\CEF3Utils\CEF3Utils.Build.cs,cef3utils|slate|umg|widget
Chaos,Runtime,Physics,Runtime\Experimental\Chaos\Chaos.Build.cs,chaos|collision|experimental|physics
ChaosCore,Runtime,Physics,Runtime\Experimental\ChaosCore\ChaosCore.Build.cs,chaoscore|chaos|collision|experimental|physics
ChaosSolverEngine,Runtime,Physics,Runtime\Experimental\ChaosSolverEngine\ChaosSolverEngine.Build.cs,chaossolverengine|chaos|collision|experimental|physics
ChaosVDData,Runtime,Physics,Runtime\Experimental\ChaosVDData\ChaosVDData.build.cs,chaosvddata|chaos|collision|experimental|physics
ChaosVDRuntime,Runtime,Physics,Runtime\Experimental\ChaosVisualDebugger\ChaosVDRuntime.Build.cs,chaosvdruntime|chaos|chaosvisualdebugger|collision|experimental|physics
ChaosVehiclesCore,Runtime,Physics,Runtime\Experimental\ChaosVehicles\ChaosVehiclesCore\ChaosVehiclesCore.Build.cs,chaosvehiclescore|chaos|chaosvehicles|collision|experimental|physics
ChaosVehiclesEngine,Runtime,Physics,Runtime\Experimental\ChaosVehicles\ChaosVehiclesEngine\ChaosVehiclesEngine.Build.cs,chaosvehiclesengine|chaos|chaosvehicles|collision|experimental|physics
CinematicCamera,Runtime,UI,Runtime\CinematicCamera\CinematicCamera.Build.cs,cinematiccamera|slate|umg|widget
ClientPilot,Runtime,UI,Runtime\ClientPilot\ClientPilot.Build.cs,clientpilot|slate|umg|widget
ClothingSystemRuntimeCommon,Runtime,Physics,Runtime\ClothingSystemRuntimeCommon\ClothingSystemRuntimeCommon.Build.cs,clothingsystemruntimecommon|chaos|collision|physics
ClothingSystemRuntimeInterface,Runtime,Physics,Runtime\ClothingSystemRuntimeInterface\ClothingSystemRuntimeInterface.Build.cs,clothingsystemruntimeinterface|chaos|collision|physics
ClothingSystemRuntimeNv,Runtime,Physics,Runtime\ClothingSystemRuntimeNv\ClothingSystemRuntimeNv.Build.cs,clothingsystemruntimenv|chaos|collision|physics
ColorManagement,Runtime,UI,Runtime\ColorManagement\ColorManagement.Build.cs,colormanagement|slate|umg|widget
Constraints,Runtime,Animation,Runtime\Experimental\Animation\Constraints\Constraints.Build.cs,constraints|animation|experimental|rig|skeletal
CookOnTheFly,Runtime,UI,Runtime\CookOnTheFly\CookOnTheFly.Build.cs,cookonthefly|slate|umg|widget
Core,Runtime,UI,Runtime\Core\Core.Build.cs,core|slate|umg|widget
CoreOnline,Runtime,NetworkingOnline,Runtime\CoreOnline\CoreOnline.Build.cs,coreonline|network|online|replication
CorePreciseFP,Runtime,UI,Runtime\CorePreciseFP\CorePreciseFP.build.cs,coreprecisefp|slate|umg|widget
CoreUObject,Runtime,UI,Runtime\CoreUObject\CoreUObject.Build.cs,coreuobject|slate|umg|widget
CrashReportCore,Runtime,UI,Runtime\CrashReportCore\CrashReportCore.Build.cs,crashreportcore|slate|umg|widget
CUDA,Runtime,UI,Runtime\CUDA\Source\CUDA.Build.cs,cuda|slate|umg|widget
D3D11RHI,Runtime,Rendering,Runtime\Windows\D3D11RHI\D3D11RHI.Build.cs,d3d11rhi|render|rhi|shader|windows
D3D12RHI,Runtime,Rendering,Runtime\D3D12RHI\D3D12RHI.Build.cs,d3d12rhi|render|rhi|shader
DataflowCore,Runtime,UI,Runtime\Experimental\Dataflow\Core\DataflowCore.Build.cs,dataflowcore|core|dataflow|experimental|slate|umg|widget
DataflowEngine,Runtime,UI,Runtime\Experimental\Dataflow\Engine\DataflowEngine.Build.cs,dataflowengine|dataflow|experimental|slate|umg|widget
DataflowSimulation,Runtime,UI,Runtime\Experimental\Dataflow\Simulation\DataflowSimulation.Build.cs,dataflowsimulation|dataflow|experimental|simulation|slate|umg|widget
DatasmithCore,Runtime,UI,Runtime\Datasmith\DatasmithCore\DatasmithCore.Build.cs,datasmithcore|datasmith|slate|umg|widget
DeveloperSettings,Runtime,UI,Runtime\DeveloperSettings\DeveloperSettings.Build.cs,developersettings|slate|umg|widget
DirectLink,Runtime,UI,Runtime\Datasmith\DirectLink\DirectLink.Build.cs,directlink|datasmith|slate|umg|widget
Engine,Runtime,UI,Runtime\Engine\Engine.Build.cs,slate|umg|widget
EngineMessages,Runtime,UI,Runtime\EngineMessages\EngineMessages.Build.cs,enginemessages|slate|umg|widget
EngineSettings,Runtime,UI,Runtime\EngineSettings\EngineSettings.Build.cs,enginesettings|slate|umg|widget
EventLoop,Runtime,NetworkingOnline,Runtime\Online\Experimental\EventLoop\EventLoop.Build.cs,eventloop|online|experimental|network|replication
EventLoopUnitTests,Runtime,NetworkingOnline,Runtime\Online\Experimental\EventLoopTests\EventLoopUnitTests.Build.cs,eventloopunittests|online|eventlooptests|experimental|network|replication
ExternalRpcRegistry,Runtime,UI,Runtime\ExternalRPCRegistry\ExternalRpcRegistry.Build.cs,externalrpcregistry|slate|umg|widget
EyeTracker,Runtime,UI,Runtime\EyeTracker\EyeTracker.Build.cs,eyetracker|slate|umg|widget
FieldNotification,Runtime,UI,Runtime\FieldNotification\FieldNotification.Build.cs,fieldnotification|slate|umg|widget
FieldSystemEngine,Runtime,UI,Runtime\Experimental\FieldSystem\Source\FieldSystemEngine\FieldSystemEngine.Build.cs,fieldsystemengine|experimental|fieldsystem|slate|umg|widget
Foliage,Runtime,UI,Runtime\Foliage\Foliage.Build.cs,foliage|slate|umg|widget
FriendsAndChat,Runtime,UI,Runtime\FriendsAndChat\FriendsAndChat.Build.cs,friendsandchat|slate|umg|widget
GameMenuBuilder,Runtime,UI,Runtime\GameMenuBuilder\GameMenuBuilder.Build.cs,gamemenubuilder|slate|umg|widget
GameplayDebugger,Runtime,UI,Runtime\GameplayDebugger\GameplayDebugger.Build.cs,gameplaydebugger|slate|umg|widget
GameplayMediaEncoder,Runtime,UI,Runtime\GameplayMediaEncoder\GameplayMediaEncoder.Build.cs,gameplaymediaencoder|slate|umg|widget
GameplayTags,Runtime,UI,Runtime\GameplayTags\GameplayTags.Build.cs,gameplaytags|slate|umg|widget
GameplayTasks,Runtime,UI,Runtime\GameplayTasks\GameplayTasks.Build.cs,gameplaytasks|slate|umg|widget
GeometryCollectionEngine,Runtime,UI,Runtime\Experimental\GeometryCollectionEngine\GeometryCollectionEngine.Build.cs,geometrycollectionengine|experimental|slate|umg|widget
GeometryCore,Runtime,UI,Runtime\GeometryCore\GeometryCore.Build.cs,geometrycore|slate|umg|widget
GeometryFramework,Runtime,UI,Runtime\GeometryFramework\GeometryFramework.Build.cs,geometryframework|slate|umg|widget
HardwareSurvey,Runtime,UI,Runtime\HardwareSurvey\HardwareSurvey.Build.cs,hardwaresurvey|slate|umg|widget
HeadMountedDisplay,Runtime,UI,Runtime\HeadMountedDisplay\HeadMountedDisplay.Build.cs,headmounteddisplay|slate|umg|widget
HTTP,Runtime,NetworkingOnline,Runtime\Online\HTTP\HTTP.Build.cs,http|online|network|replication
HttpNetworkReplayStreaming,Runtime,NetworkingOnline,Runtime\NetworkReplayStreaming\HttpNetworkReplayStreaming\HttpNetworkReplayStreaming.Build.cs,httpnetworkreplaystreaming|network|networkreplaystreaming|online|replication
HttpServer,Runtime,NetworkingOnline,Runtime\Online\HTTPServer\HttpServer.Build.cs,httpserver|online|network|replication
Icmp,Runtime,NetworkingOnline,Runtime\Online\ICMP\Icmp.Build.cs,icmp|online|network|replication
IESFile,Runtime,UI,Runtime\IESFile\IESFile.Build.cs,iesfile|slate|umg|widget
ImageCore,Runtime,UI,Runtime\ImageCore\ImageCore.Build.cs,imagecore|slate|umg|widget
ImageDownload,Runtime,NetworkingOnline,Runtime\Online\ImageDownload\ImageDownload.Build.cs,imagedownload|online|network|replication
ImageWrapper,Runtime,UI,Runtime\ImageWrapper\ImageWrapper.Build.cs,imagewrapper|slate|umg|widget
ImageWriteQueue,Runtime,UI,Runtime\ImageWriteQueue\ImageWriteQueue.Build.cs,imagewritequeue|slate|umg|widget
InMemoryNetworkReplayStreaming,Runtime,NetworkingOnline,Runtime\NetworkReplayStreaming\InMemoryNetworkReplayStreaming\InMemoryNetworkReplayStreaming.build.cs,inmemorynetworkreplaystreaming|network|networkreplaystreaming|online|replication
InputCore,Runtime,UI,Runtime\InputCore\InputCore.Build.cs,inputcore|slate|umg|widget
InputDevice,Runtime,UI,Runtime\InputDevice\InputDevice.Build.cs,inputdevice|slate|umg|widget
InstallBundleManager,Runtime,UI,Runtime\InstallBundleManager\InstallBundleManager.Build.cs,installbundlemanager|slate|umg|widget
Instrumentation,Runtime,UI,Runtime\Instrumentation\Instrumentation.Build.cs,instrumentation|slate|umg|widget
InteractiveToolsFramework,Runtime,UI,Runtime\InteractiveToolsFramework\InteractiveToolsFramework.Build.cs,interactivetoolsframework|slate|umg|widget
